glassdoor_balance,glassdoor_values,average,glassdoor_friend,glassdoor_opportunity,glassdoor_leadership,ceo_vs_market_cap,repetition,empathic_words,skips,major_scandal,i_we_you,half_hour_minute_response_rate,carbon_sector_score,glassdoor_comp,ten_minute_response_rate,glassdoor_ceo,carbon_country_score,proportion_women,stock_phrases,company,answers,five hour response rate
2.7,2.5,-0.7142857142857143,0.52,3.1,2.1,0.0048657695,0.4367761194,0.3721212121,44.0,0,0.6012121212,0.8904267589,2014.275374,2.2,0.6747404844,0.56,4284,0.166666667,0.0739393939,Ryanair Ltd,7.0,0.9653979239
3.5,4,1.25,0.87,3.4,3.3,0.0109737472,0.125,0.1428571429,47.0,0,0.5714285714,0,18.3139134,3.8,0,0.86,4284,0.214285714,0,SABMiller PLC,4.0,0
2.5,2.6,-0.5,0.52,3,2.5,0.0155682471,0.5909963601,0.5906225374,43.0,1,0.9054373522,0.6297598125,33.24373478,3.6,0.3175161101,0.64,4079,0.1,0.0496453901,"Samsung Electronics Co., Ltd.",8.0,0.8886936145
3.9,4,0.16666666666666666,0.86,3.7,3.6,0.0199190475,0.3150508377,0.0240963855,45.0,0,0.1590361446,0.6666666667,33.24373478,4,0.6666666667,0.95,3621,0.166666667,0,SAP SE ,6.0,0.6666666667
3.5,3.6,-2.0,0.61,2.8,2.6,0.0013825988,0.2911522634,0.052631579,50.0,0,0.4035087719,0,4.454901804,2.7,0,0.97,4284,0.1,0,Schroders PLC,1.0,0
2.7,2.7,0.0,0.47,2,1.6,0.0021263579,0.4051315934,0.3496801706,51.0,0,0.8208955224,0.8715953307,68.76098713,3.1,0.5486381323,0.56,4284,0.333333333,0.0469083156,Severn Trent Plc,0.0,0.9961089494
3.2,3.5,-1.0,0.65,3.2,2.8,0.0007143632,0.5603632133,0.3486238532,50.0,0,0.8155963303,0.4580610022,6.814095103,3.6,0.3316993464,0.86,4284,0.181818182,0.0434250765,Sky Plc,1.0,0.5838779956
3.5,3.5,0.3333333333333333,0.69,3,3,0.0092652533,0.3354112206,0.181547619,48.0,1,0.3928571429,0.7264957265,33.24373478,3.4,0.5213675214,0.89,4079,0,0.0416666667,Sony Corporation,3.0,0.8547008547
3.8,4.2,1.8,0.83,3.9,3.6,0.0038499558,0.5516624803,0.2491719745,46.0,1,0.8099363057,0.9076923077,2014.275374,4.1,0.6552706553,0.84,2291,0.1818181818,0.0188535032,SouthWest Airlines Company,5.0,0.992022792
3,2.8,0.0,0.53,3.1,3.1,0.0101962657,0.5809445809,0.5294117647,0.0,1,0.3054298643,0.0229885058,118.8632177,3.1,0.0076628352,0.57,4284,0.166666667,0.3733031674,Sports Direct International PLC,0.0,0.2260536398
3,3.1,0.0,0.55,3,2.4,0.0080944494,0.5201360794,0.4763513514,51.0,0,0.8074324324,0.4589371981,370.278614,3,0.2536231884,0.65,4284,0.333333333,0.1824324324,SSE PLC,0.0,0.6666666667
3.2,3.4,0.14285714285714285,0.61,3.2,2.8,0.0021083457,0.1562952243,0.0263157895,44.0,0,0.2894736842,0,4.454901804,3.2,0,0.87,4284,0.153846154,0,Standard Chartered PLC,7.0,1
4.2,3.7,0.0,0.69,3.4,3.4,0.0016925131,0.1491841492,0.0833333333,50.0,0,0.375,0,4.454901804,3.7,0,1.00,4284,0.25,0,Standard Life PLC,1.0,0
3.2,3.2,1.0,0.53,2.8,2.7,0.0005578708,0.7022956704,0.0752181089,49.0,0,0.8486206083,0.9287598945,118.8632177,2.8,0.7203166227,0.45,2291,0.181818182,0.0122612591,Staples Inc,2.0,0.9656992084
3.4,4,1.0,0.78,3.4,3.2,0.0039403568,0.3745001052,0.1075460487,46.0,0,0.4183006536,0.3567839196,118.8632177,3.8,0.2462311558,0.90,2291,0.25,0.0065359477,Starbucks Corporation,5.0,0.6834170854
2.6,3.1,-0.6,0.65,3.5,2.7,0.2072747996,0.7040320098,0.47815876,46.0,0,0.7468294974,0.5506134969,4.454901804,3.4,0.5406441718,0.69,579,0.153846154,0.0126820103,State bank of india,5.0,0.6817484663
2.7,2.6,-1.0,0.46,2.8,2.6,0.0909788643,0,0,48.0,0,0,0,15.62358106,2.6,0,0.53,579,0.111111111,0,Sun Pharmacutical Industries Limited,3.0,0
2.9,2.7,-1.0,0.51,2.4,2.3,0.0006244994,0.6118216561,0.4311926606,49.0,0,0.8176605505,0.4674689733,6.814095103,3.3,0.3960135389,0.76,4284,0.25,0.092603211,TalkTalk Telecom Group,2.0,0.634449041
3,3.4,0.6,0.61,3,2.9,0.0023566096,0.2631578947,0.0333951763,46.0,0,0.5695732839,0.3823529412,118.8632177,3.1,0.1470588235,0.75,2291,0.357142857,0,Target Corp,5.0,0.7941176471
3.8,3.9,0.6666666666666666,0.71,3.4,3.1,0.0297706171,0.51447178,0.2253521127,48.0,1,0.6901408451,0.1081081081,43.94237737,3.1,0.0540540541,0.98,579,0.090909091,0,Tata Motors Limited,3.0,0.3243243243
3.7,3.8,0.5,0.79,3.2,3.1,0.0048558917,0.1959183673,0,43.0,1,0.2272727273,0,348.4482954,3.5,0,0.88,579,0.090909091,0,Tata Steel Limited,8.0,0
3.6,3.4,-0.3333333333333333,0.72,3,2.9,0.0086046585,0.588678253,0.3322324967,48.0,0,0.8269484808,0.0991264717,6.814095103,3.6,0.0603873908,0.98,5928,0.111111111,0.0341259357,Telefonica SA ADR,3.0,0.4405620965
3.4,4.2,0.0,0.84,4,3.7,0.0221001423,0,0,50.0,0,0,0,6.814095103,4.2,0,0.92,435,0,0,Tencent Holdings Limited,1.0,0
3.3,3.3,0.2,0.69,3.2,2.9,0.0029106167,0.6044091349,0.5299094845,46.0,0,0.8728846911,0.3344838406,118.8632177,3.4,0.1559460307,0.81,4284,0.272727273,0.0214482487,Tesco PLC,5.0,0.9212425479
2.4,3.5,1.2142857142857142,0.68,3.6,3.1,0.8119066624,0.1138613861,0,37.0,0,0.5,0,43.94237737,3.3,0,0.91,2291,0.285714286,0,Tesla Motors Inc,14.0,0
3.7,3.2,-0.3333333333333333,0.69,3.3,2.7,0.00615792,0.197260274,0.1818181818,42.0,0,0.3181818182,0,43.94237737,3.8,0,0.86,2291,0.166666667,0,The Boeing Company,9.0,0
3.1,3.2,0.4,0.64,3.1,2.7,0.0125807756,0.2029470864,0.1460674157,46.0,1,0.2640449438,0.1111111111,18.3139134,3.5,0.0277777778,0.68,2291,0.266666667,0.0730337079,The Coca-Cola Company,5.0,0.5277777778
2.7,3.8,-1.0,0.78,3.8,3.4,0.0031533304,0.1695906433,0.0101010101,44.0,1,0.0808080808,0,4.454901804,3.7,0,0.93,2291,0.142857143,0,The Goldman Sachs Group Inc,7.0,0
3,3.6,0.5714285714285714,0.65,3.2,2.9,0.0136899564,0.2492753623,0,44.0,1,0.4090909091,0,40.22780477,3.1,0,0.80,2291,0.230769231,0,The Home Depot Inc,7.0,0
2.2,2.2,0.25,0.29,2.7,2.2,0.0199409356,0.3964208243,0.5674157303,43.0,1,0.7528089888,0.0294117647,18.3139134,3,0,0.24,2291,0.2,0.0337078652,The Kraft Heinz Company,8.0,0.3235294118
3.6,4.2,0.3,0.86,3.6,3.4,0.0162705828,0.1144067797,0,41.0,0,0.2142857143,0,118.8632177,3.9,0,0.95,2291,0.363636364,0,The Procter & Gamble Company,10.0,0
3.9,3.3,0.0,0.59,2.9,2.7,0.0049560597,0.4131998749,0.4382183908,47.0,0,0.8347701149,0.4318618042,4.454901804,3,0.1765834933,0.82,4284,0.25,0.066091954,The Royal Bank of Scotland Group PLC ,4.0,0.9213051823
3.4,4,0.6666666666666666,0.75,3.4,3.3,0.0033059041,0.1639240506,0,48.0,1,0.1825396825,0,6.814095103,3.5,0,0.87,2291,0.272727273,0,The Walt Disney Company,3.0,0
3.7,3.5,0.0,0.71,2.9,3.1,0.0018934049,0.6455383666,0.5232083179,47.0,0,0.8867434088,0.5569620253,6.814095103,3.6,0.388185654,0.95,2291,0.181818182,0.0211659859,Time Warner Inc,4.0,0.9993972272
3.6,3.5,0.0,0.81,3.4,3.3,0.0213661066,0.1477832512,0.04,51.0,0,0.16,0,370.278614,3.5,0,0.80,5928,0.4,0,Total SA ADR,0.0,0
3,3.7,1.375,0.76,3.3,3.2,0.0577219342,0.3359916782,0.2292609351,43.0,0,0.6214177979,0.7819548872,43.94237737,3.7,0.6654135338,0.90,4079,0,0.1131221719,Toyota Motor Corp ADR,8.0,0.9135338346
3.7,3.9,0.0,0.59,3.4,3.4,0.0013449026,0.2282608696,0.1818181818,51.0,0,0.3636363636,0.6,40.22780477,3.4,0.4,0.82,4284,0.333333333,0.0454545455,Travis Perkins PLC,0.0,1
3.6,3.4,1.0,0.62,2.6,2.5,0.0065899664,0.1766513057,0.0952380952,50.0,0,0.5,0,2.857809518,3.7,0,0.67,2291,0.125,0,TripAdvisor Inc,1.0,1
3.4,3.2,-0.6666666666666666,0.85,3.2,3.3,0.001703592,0.1832425068,0.0227272727,48.0,1,0.1477272727,0,6.814095103,3.4,0,0.67,2291,0.076923077,0,Twenty-First Century Fox Inc,3.0,0
4,4,0.5714285714285714,0.74,3.6,3.4,0.1889892856,0.3070291777,0,44.0,1,0.2111111111,0.4,33.24373478,4.1,0.4,0.85,2291,0.3,0,Twitter Inc,7.0,0.6
3.5,3.3,0.0,0.67,3.2,3,0.0035674286,0.2071611253,0.0227272727,45.0,1,0.1212121212,0,4.454901804,3.2,0,0.86,9293,0.272727273,0,UBS Group AG,6.0,0
3.4,3.9,0.7272727272727273,0.79,3.4,3.2,0.0115651086,0.1751085384,0.0493827161,40.0,1,0.3209876543,0.25,118.8632177,3.5,0.25,0.93,4284,0.428571429,0.012345679,Unilever PLC,11.0,0.25
3.1,3.2,0.6666666666666666,0.66,3.4,2.9,0.0085269596,0.7044947358,0.5421940928,48.0,1,0.8457278481,0.8678549478,117.7410762,3.7,0.577750461,0.77,2291,0.272727273,0.1529535865,United Parcel Servie Inc,3.0,0.9692685925
3,3.1,-1.0,0.62,3,2.7,0.0115264784,0.6643589862,0.1919546963,49.0,0,0.7787541496,0.9211753731,6.814095103,4,0.7961753731,0.62,2291,0.230769231,0.0033196641,Verizon Communications Inc,2.0,0.9696828358
3.6,3.6,-0.14285714285714285,0.61,3,2.9,0.0004938619,0.1575931232,0,44.0,1,0.35,0,6.814095103,3.3,0,0.59,2291,0.545454545,0,Viacom Inc,7.0,0
2.1,2,0.0,0.18,2.3,1.8,0.0007407939,0.2357043236,0.1923076923,47.0,0,0.6282051282,0.28,4.454901804,2.8,0.08,0.39,4284,0.375,0,Virgin Money Holdings (UK) PLC,4.0,0.88
3.5,2.5,0.5,0.27,2.6,2.2,0.0165915458,0.1111111111,0,47.0,1,1,1,4.454901804,3.3,0,0.45,2291,0.25,0,Visa Inc,4.0,1
3.3,3.5,0.6666666666666666,0.72,3.2,2.9,0.0101849723,0.6712110625,0.5519060177,45.0,0,0.6964756653,0.5760456274,33.24373478,3.4,0.3307984791,0.87,4284,0.25,0.2157755934,Vodafone Group Plc,6.0,0.8911596958
3.6,3.5,0.0,0.76,3.5,3.1,0.015333236,0.3186142524,0.3061889251,47.0,1,0.664495114,0.7142857143,43.94237737,3.9,0.4789915966,0.75,3621,0.15,0.0651465798,Volkswagen Group,4.0,0.8235294118
2.9,3.1,1.0,0.51,2.9,2.7,0.0122264412,0.3744561611,0.1029551954,48.0,0,0.6587225929,0.2857142857,118.8632177,3,0.1619047619,0.48,2291,0.3,0.0047664442,Walgreens Boots Alliance Inc,3.0,0.5904761905
2.8,3,-0.6666666666666666,0.55,3.2,2.6,0.0112728855,0.6480923812,0.5655997693,48.0,0,0.842704729,0.0297417167,118.8632177,3.1,0.0070440908,0.64,2291,0.25,0.0961649366,Wal-Mart Stores Inc. ,3.0,0.211583616
3.3,3.4,-1.6666666666666667,0.66,3.5,3,0.0119696744,0.1228070175,0.3333333333,48.0,1,0.5555555556,0,4.454901804,3.5,0,0.83,2291,0.4,0,Wells Fargo & Company,3.0,0.25
2.6,3.2,-1.0,0.52,3.2,2.6,0.0105168883,0.2107843137,0.4090909091,49.0,0,0.6363636364,0.4285714286,118.8632177,2.9,0.2857142857,0.37,4284,0.4,0.0909090909,Whitbread PLC,2.0,0.5714285714
3.1,3.6,1.5,0.65,3.3,2.9,0.004368496,0.4979586936,0.13125,49.0,0,0.45,0.2560553633,118.8632177,3.5,0.0692041523,0.68,2291,0.181818182,0.009375,Whole Foods Market Inc,2.0,0.5813148789
2.6,2.8,0.0,0.44,2.7,2.5,0.0020578423,0.5439760054,0.379337232,51.0,0,0.7543859649,0.327388535,118.8632177,3,0.1382165605,0.71,4284,0.285714286,0.0307992203,WM Morrison Supermarkets PLC,0.0,0.8305732484
3.7,3.6,-0.5,0.59,3.2,2.8,0.0011676044,0.3959691761,0.1250659631,47.0,1,0.4068601583,0.3790849673,33.24373478,3.8,0.2254901961,0.65,2291,0.272727273,0.0042216359,Yahoo Inc,4.0,0.7352941176
